hub id	hub name (auto fill)	article url												
12	AkiraChix	https://www.infodev.org/articles/success-story-akirachix	https://www.vogue.com/article/female-coders-from-nairobi	https://www.infodev.org/articles/success-story-akirachix	https://www.un.org/africarenewal/magazine/special-edition-youth-2017/young-women-breaking-male-dominated-ict-world	https://www.aa.com.tr/en/africa/kenyan-tech-women-feted-by-vogue-magazine/2169189	https://www.npr.org/sections/alltechconsidered/2012/12/24/167961947/kenyan-women-create-their-own-geek-cuture	https://kbfus.org/article/breaking-barriers-kenyan-women-make-careers-in-construction-and-technology/	https://www.devex.com/news/local-entrepreneurs-on-funding-access-the-system-is-broken-94726	https://www.dw.com/en/exploring-initiatives-and-projects-from-kenyas-digital-ecosystem/a-47135019	https://owlconnected.com/archives/female-coders-kenya	https://www.europeanbusinessreview.com/judith-owigar-founder-akirachix-co-founder-operatons-director-juakali/	https://worldscholarshipforum.com/akirachix-codehive-program/	https://blogs.afdb.org/economic-growth/african-women-stem-kenya%E2%80%99s-akirachix-bold-mission-train-women-technology-317
13	Alexandria Hackerspace	https://dailynewsegypt.com/2014/09/14/hacking-like-egyptians/												
14	ALFTech Hub	https://www.ft.com/content/c757e400-f994-4fc4-87fa-e2647de138a3												
15	Altoufikh International	https://www.samenacouncil.org/samena_daily_news?news=68601	https://innov8tiv.com/afrilabs-hits-100-hubs-mark/amp/amp/	https://www.techinafrica.com/afrilabs-reaches-milestone-100-hubs/										
16	AMN Coworking Space	https://techafrique.startupbrics.com/coworking-ecosysteme-startup-cote-ivoire/	https://www.jeuneafrique.com/28875/economie/un-bureau-pour-deux-trois-vingt-cinq/											
17	Angel Hub	https://ventureburn.com/2014/02/angelhub-becomes-angelhub-ventures-with-michael-jordaan-buy-in/	https://blogs.worldbank.org/psd/angel-entrepreneur-s-table	https://businesstech.co.za/news/trending/53102/jordaan-joins-seed-fund-angelhub-ventures/										
18	AUC Venture Lab	https://startupswb.com/auc-vlab-is-looking-for-egypts-next-innovators-for-their-startup-accelerator-program.html	https://www.egypttoday.com/Article/3/94406/ITIDA-AUC-Venture-Lab-Kick-Off-Startup-Launchpad-to-Enrich	https://thestartupscene.me/OPPORTUNITIES/Egypt-s-AUC-Venture-Lab-ITIDA-Are-Now-Accepting-Application-for-New-Joint-Program	https://www.auccaravan.com/?p=8528	https://disrupt-africa.com/2020/11/23/itida-auc-venture-lab-launch-startup-launchpad-to-boost-egyptian-ecosystem/	https://menafn.com/1101154617/Egypt-ITIDA-AUC-Venture-Lab-collaborate-on-Startup-Launchpad	http://www.africa-bi.info/en/article/actualite/egypt-itida-auc-venture-lab-kick-off-startup-launchpad-to-enrich-egyptian-entrepreneurship-ecosystem						
19	BabyLab	https://www.rfi.fr/fr/emission/20160823-cote-ivoire-lancement-laboratoire-numerique-baby-lab-abidjan	https://lumieresdelaville.net/babylab-fablab-abidjan-informatique-jeunes-3/	https://fjn.ci/fjn/start-up-de-la-semaine-baby-lab/										
20	Bamako Incubateur	https://womensbusinessinitiative.net/charlenes-bubble-amazing-african-entrepreneurs-greetings-from-bamako/	https://blogs.worldbank.org/fr/voices/mali-une-annee-dans-la-vie-d-un-incubateur											
21	BantuHub	https://www.biztechafrica.com/article/congo-brazzavilles-bantuhub-offers-ict-relief-loca/8861/	https://www.lepoint.fr/economie/du-bantuhub-a-l-infinite-school-verone-mankou-dit-tout-30-07-2014-1860380_28.php	https://www.afrikatech.com/start-business/verone-mankou-and-her-way-c-tablet/										
