Reference,Map 4.3,,,,,,,,,,,
Title,African tech hubs,,,,,,,,,,,
Subtitle,,,,,,,,,,,,
Source,WDR 2016 team.,,,,,,,,,,,
Note,,,,,,,,,,,,
Report URL,http://www.worldbank.org/wdr2016,,,,,,,,,,,
Data URL,http://bit.do/WDR2016-Map4_3,,,,,,,,,,,
,,,,,,,,,,,,
No.,Tech Hub Name,Country ,ISO Code Alpha 2,ISO Code Alpha 3,ISO Numberic Code,City ,URL,Date of foundation,Running Model,,,
48,iLab Liberia,Liberia,LR,LBR,430,Monrovia,http://ilabliberia.org/,2011,Civil Society Led,,,
49,Habaka,Madagascar,MG,MDG,450,"Antananarivo,",http://habaka.org,2011,Civil Society Led,,,
50,I-Hub Malagasy,Madagascar,MG,MDG,450,Antananarivo,http://www.i-hub.mg/,2011,Civil Society Led,,,
51,Jokkolabs Bamako,Mali ,ML,MLI,466,Bamako ,http://bamako.jokkolabs.net/,2012,Civil Society Led,,,
52,Ebene Accelerator,Mauritius,MU,MUS,480,Ebene Cybercity,http://ebeneaccelerator.mu,2013,Government Led,,,
53,Jokkolabs Casablanca,Morocco,MA,MAR,504,Casablanca,http://jokkolabs.net/en/#jokkolabs,2015,Civil Society Led,,,
54,New Work Lab,Morocco,MA,MAR,504,Casablanca,http://www.newworklab.com,2012,Civil Society Led,,,
55,Girls in Tech (GIT)-Morocco Chapter,Morocco,MA,MAR,504,Casablanca,http://morocco.girlsintech.org/,2015,Civil Society Led,,,
56,OCP Entrepreneurship Network,Morocco,MA,MAR,504,Casablanca,http://www.ocpentrepreneurship.org/,2015,Hybrid Led,,,
57,MICTI Technology and Business Centre,Mozambique,MZ,MOZ,508,Maputo,http://www.micti.co.mz/,2006,Government Led,,,
58,Namibia Business Innovation Centre (NBIC),Namibia,NA,NAM,516,Windhoek,http://nbic.polytechnic.edu.na/,2012,Academic Insitution Led,,,
59,Fablab Namibia,Namibia,NA,NAM,516,Windhoek,http://www.fablabnamibia.org/,2014,Hybrid Led,,,
60,L5 Lab,Nigeria,NG,NGA,566,Lagos,http://www.l5lab.com/,2009,Civil Society Led,,,
61,Co-creation Hub,Nigeria,NG,NGA,566,Lagos,www.cchubnigeria.com,2010,Civil Society Led,,,
62,Wennovation Hub,Nigeria,NG,NGA,566,Lagos,http://www.wennovationhub.com/,2011,Civil Society Led,,,
63,National Board for Technology Incubation-Tech Incubation Headquarters,Nigeria,NG,NGA,566,Abuja,http://www.nbti.gov.ng/,2005,Government Led,,,
64,Minna Tech Incubation Centre ,Nigeria,NG,NGA,566,Minna,http://www.nbti.gov.ng/north-central,2005,Government Led,,,
65,Information Developers Entrepreneurship Accelerator (IDEA) ,Nigeria,NG,NGA,566,"Lagos; Calabar, Cross River State",http://www.idea-nigeria.org/,2013,Hybrid Led,,,
66,Focus Hub,Nigeria,NG,NGA,566,Port Harcourt,http://focushub.net/,2013,Civil Society Led,,,
67,Enspire Incubator,Nigeria,NG,NGA,566,Abuja,http://enspire.org.ng/wp/about-us/,2013,Hybrid Led,,,
68,Calabar Technology Incubation Center,Nigeria,NG,NGA,566,Abuja,http://www.nbti.gov.ng/,2005,Government Led,,,
69,88 MPH (400 NG),Nigeria,NG,NGA,566,Lagos,www.88mph.ac/lagos,2014,Hybrid Led,,,
70,Cyclotron Réunion Indian Ocean (CYROI GIP),Reunion,RE,REU,638,Saint Denis ,http://www.cyroi.fr/category/pepiniere-entreprise/,2011,Academic Institution Led,,,
71,Technopole de la Reunion ,Reunion,RE,REU,638,Saint Denis (Sainte Clotilde),http://technopole-reunion.com,2002,Hybrid Led,,,
72,kLab,Rwanda,RW,RWA,646,Kigali,http://klab.rw/public/about,2012,Hybrid Led,,,
73,The Office,Rwanda,RW,RWA,646,Kigali,http://theoffice.rw/,2012,Civil Society Led,,,
